0,0.1413
0.02,0.8402
0.03,0.9646
0.04,0.9615
0.05,1.0431
0.06,0.9951
0.07,0.9417
0.08,0.7246
0.09,0.3198
0.1,0.0331
0.11,-0.2814
0.12,-0.5367
0.13,-0.6436
0.14,-0.8904
0.15,-0.9166
0.16,-0.8218
0.17,-0.7291
0.18,-0.4993
0.19,-0.121
0.2,0.1265
0.21,0.3624
0.22,0.7787
0.23,0.8599
0.24,1.0987
0.25,1.1684
0.26,0.9721
0.27,0.8654
0.28,0.6326
0.29,0.3452
0.3,0.0522
0.31,-0.2877
0.32,-0.4415
0.33,-0.7909
0.34,-0.7597
0.35,-0.8496
0.36,-0.92
0.37,-0.7995
0.38,-0.5572
0.39,-0.2912
0.4,0.0381
0.41,0.4121
0.42,0.6942
0.43,0.9096
0.44,1.0311
0.45,1.1131
0.46,1.131
0.47,1.0008
0.48,0.7413
0.49,0.4757
0.5,0.1978
0.51,-0.179
0.52,-0.4124
0.53,-0.6491
0.54,-0.911
0.55,-0.8421
0.56,-0.7857
0.57,-0.7424
0.58,-0.4889
0.59,-0.2921
0.6,0.1383
0.61,0.4553
0.62,0.7284
0.63,0.8421
0.64,1.1342
0.65,1.0127
0.66,1.105
0.67,0.9053
0.68,0.6942
0.69,0.4225
0.7,0.0307
0.71,-0.2803
0.72,-0.5592
0.73,-0.6634
0.74,-0.7882
0.75,-0.9045
0.76,-0.8108
0.77,-0.6641
0.78,-0.4835
0.79,-0.1147
0.8,0.1753
0.81,0.4994
0.82,0.7126
0.83,0.9287
0.84,1.1256
0.85,1.0253
0.86,1.0056
0.87,0.9063
0.88,0.7372
0.89,0.3232
0.9,0.0422
0.91,-0.2575
0.92,-0.428
0.93,-0.7932
0.94,-0.8559
0.95,-0.9848
0.96,-0.7552
0.97,-0.7488
0.98,-0.546
0.99,-0.2897
1,0.1486
1.01,0.4266
1.02,0.6735
1.03,0.8637
1.04,0.9643
1.05,1.0273
1.06,1.1195
1.07,0.8217
1.08,0.721
1.09,0.4883
1.1,0.0396
1.11,-0.2413
1.12,-0.553
1.13,-0.6882
1.14,-0.7858
1.15,-0.8483
1.16,-0.9453
1.17,-0.6559
1.18,-0.4586
1.19,-0.2886
1.2,0.0623
1.21,0.3993
1.22,0.6534
1.23,0.8748
1.24,0.9759
1.25,1.0149
1.26,1.1102
1.27,0.8997
1.28,0.6522
1.29,0.4605
1.3,0.189
1.31,-0.2556
1.32,-0.4472
1.33,-0.7952
1.34,-0.8659
1.35,-0.8588
1.36,-0.8523
1.37,-0.7591
1.38,-0.4702
1.39,-0.1213
1.4,0.149
1.41,0.3895
1.42,0.6054
1.43,0.8258
1.44,1.064
1.45,1.0254
1.46,1.0687
1.47,0.9214
1.48,0.724
1.49,0.4941
1.5,0.1562
1.51,-0.1445
1.52,-0.4878
1.53,-0.7827
1.54,-0.8254
1.55,-0.812
1.56,-0.8319
1.57,-0.7388
1.58,-0.5231
1.59,-0.1103
1.6,0.1709
1.61,0.458
1.62,0.7015
1.63,0.8185
1.64,1.0453
1.65,1.1047
1.66,1.135
1.67,0.8235
1.68,0.7462
1.69,0.4145
1.7,0.0672
1.71,-0.253
1.72,-0.4352
1.73,-0.618
1.74,-0.8657
1.75,-0.8082
1.76,-0.8154
1.77,-0.8088
1.78,-0.5422
1.79,-0.1804
1.8,0.1238
1.81,0.4776
1.82,0.7272
1.83,0.904
1.84,0.9716
1.85,1.149
1.86,1.0865
1.87,1.0027
1.88,0.7523
1.89,0.4892
1.9,0.1085
1.91,-0.2554
1.92,-0.4506
1.93,-0.8078
1.94,-0.7746
1.95,-0.9686
1.96,-0.8322
1.97,-0.7765
1.98,-0.5761
1.99,-0.2627
2,0.0378
2.01,0.3164
2.02,0.7073
2.03,0.9635
2.04,1.0171
2.05,1.1866
2.06,1.0837
2.07,0.982
2.08,0.7053
2.09,0.4198
2.1,0.0208
2.11,-0.2972
2.12,-0.4042
2.13,-0.6139
2.14,-0.8889
2.15,-0.8025
2.16,-0.8258
2.17,-0.7709
2.18,-0.5137
2.19,-0.1795
2.2,0.1836
2.21,0.3388
2.22,0.7682
2.23,0.9838
2.24,0.9585
2.25,1.0197
2.26,1.0747
2.27,0.9746
2.28,0.6026
2.29,0.4771
2.3,0.0609
2.31,-0.192
2.32,-0.5607
2.33,-0.7956
2.34,-0.8532
2.35,-0.9685
2.36,-0.8448
2.37,-0.6359
2.38,-0.5071
2.39,-0.2567
2.4,0.1257
2.41,0.4549
2.42,0.6773
2.43,0.9386
2.44,1.0725
2.45,1.0916
2.46,1.0307
2.47,0.9139
2.48,0.7398
2.49,0.3396
2.5,0.1583
2.51,-0.1806
2.52,-0.4142
2.53,-0.7598
2.54,-0.9328
2.55,-0.885
2.56,-0.8455
